name,C,threshold,val_best_cost,cost,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
plain_lr_baseline,2.0,0.46,9760.0,17530.0,0.3203971119133574,0.9466666666666667,0.4787592717464599,0.9783232,0.5756643628727472,14872,753,20,355
diffusion_augmented_lr_target1200,0.2,0.49,11640.0,19680.0,0.34316617502458213,0.9306666666666666,0.5014367816091954,0.9782384639999998,0.577455571365255,14957,668,26,349
